City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Vaini,TO,2021-05-30 23:14:15,-21.2,-175.2,73.56,83,90,6.91
186,Garissa,KE,2021-05-30 23:14:16,-0.4536,39.6401,74.62,83,90,15.55
187,Oussouye,SN,2021-05-30 23:14:16,12.485,-16.5469,75.04,77,100,9.69
188,Yuli,NG,2021-05-30 23:14:16,9.6989,10.2744,84.22,56,70,6.13
189,Tasiilaq,GL,2021-05-30 23:14:17,65.6145,-37.6368,37.56,94,100,8.16
190,Sioux Lookout,CA,2021-05-30 23:14:17,50.1001,-91.917,53.98,44,63,2.71
191,Pisco,PE,2021-05-30 23:11:02,-13.7,-76.2167,66.25,82,0,5.75
192,Kavaratti,IN,2021-05-30 23:14:18,10.5669,72.642,82.56,77,92,17.02
193,Sinnamary,GF,2021-05-30 23:14:19,5.3833,-52.95,77.79,87,62,8.21
194,Sol-Iletsk,RU,2021-05-30 23:14:19,51.1631,54.9918,64.53,81,3,6.67
195,Makat,KZ,2021-05-30 23:14:20,47.6469,53.3463,77.23,47,85,15.35
196,San Cristobal,VE,2021-05-30 23:14:20,7.7669,-72.225,75.38,86,39,3.96
197,Rawson,AR,2021-05-30 23:14:21,-43.3002,-65.1023,51.1,74,100,18.14
198,Sao Miguel Do Araguaia,BR,2021-05-30 23:14:21,-13.275,-50.1628,78.69,44,21,2.13
199,Juneau,US,2021-05-30 23:14:22,58.3019,-134.4197,51.8,93,90,3.0
200,Lahaina,US,2021-05-30 23:14:23,20.8783,-156.6825,84.2,75,80,3.06
201,Kumluca,TR,2021-05-30 23:14:23,36.3703,30.2869,70.68,66,71,3.06
202,Buin,CL,2021-05-30 23:14:24,-33.7333,-70.75,65.05,41,100,4.81
203,Le Vauclin,MQ,2021-05-30 23:14:24,14.5452,-60.8388,80.65,74,20,16.98
204,Great Falls,US,2021-05-30 23:14:25,47.5002,-111.3008,72.68,23,1,4.0
205,Tautira,PF,2021-05-30 23:14:25,-17.7333,-149.15,82.42,74,92,16.13
206,Kruisfontein,ZA,2021-05-30 23:14:25,-34.0033,24.7314,54.88,77,100,5.28
207,Batticaloa,LK,2021-05-30 23:14:26,7.7102,81.6924,79.83,77,70,7.38
